"filename", "language", "Dart", "YAML", "XML", "Markdown", "JSON", "Swift", "C++", "CMake", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/post_bloc.dart", "Dart", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 108
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/profile_bloc.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/profile_card_bloc.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/reactions_bloc.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/register_bloc.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 128
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/replies_bloc.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/search_bloc.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/startup_bloc.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/user_posts_viewer_bloc.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/user_presenter_bloc.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"/home/ahmedafifi/projects/Universe/universe/lib/extensions/date_time_extensions.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/home/ahmedafifi/projects/Universe/universe/lib/extensions/string_extensions.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"/home/ahmedafifi/projects/Universe/universe/lib/firebase_options.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 82
"/home/ahmedafifi/projects/Universe/universe/lib/interfaces/iauthentication.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/ahmedafifi/projects/Universe/universe/lib/interfaces/idata_provider.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/home/ahmedafifi/projects/Universe/universe/lib/main.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"/home/ahmedafifi/projects/Universe/universe/lib/models/follower.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/ahmedafifi/projects/Universe/universe/lib/models/followers_response.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/ahmedafifi/projects/Universe/universe/lib/models/following.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/ahmedafifi/projects/Universe/universe/lib/models/following_response.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
